date;open;high;low;close;volume
2012.12.18;131.594;132.376;131.558;132.235;46294
2012.12.19;132.237;133.076;131.889;131.986;56575
2012.12.20;131.988;132.942;131.988;132.454;54315
2012.12.21;132.461;132.464;131.570;131.867;61536
2012.12.24;131.790;132.326;131.706;131.870;32298
2012.12.26;131.867;132.534;131.826;132.203;27835
2012.12.27;132.204;132.833;132.014;132.342;48243
2012.12.28;132.344;132.562;131.654;132.146;45173
2012.12.31;132.157;132.338;131.716;131.964;36556
2013.01.01;132.036;132.192;131.977;132.053;1377
2013.01.02;132.049;132.992;131.567;131.888;83431
2013.01.03;131.889;131.889;130.246;130.366;50519
2013.01.04;130.364;130.884;129.975;130.677;49254
2013.01.07;130.779;131.276;130.165;131.252;48815
2013.01.08;131.253;131.388;130.569;130.802;50086
2013.01.09;130.804;130.953;130.364;130.540;48758
2013.01.10;130.538;132.789;130.383;132.668;53915
2013.01.11;132.669;133.644;132.481;133.416;54809
2013.01.14;133.621;134.031;133.357;133.765;50048
2013.01.15;133.762;133.930;132.664;132.972;57596
2013.01.16;132.972;133.242;132.564;132.901;53389
2013.01.17;132.905;133.871;132.696;133.743;54847
2013.01.18;133.741;133.979;132.798;133.195;53787
2013.01.21;133.107;133.315;132.991;133.153;37620
2013.01.22;133.149;133.711;132.667;133.213;55080
2013.01.23;133.210;133.538;132.642;133.094;47766
2013.01.24;133.095;133.922;132.859;133.790;55147
2013.01.25;133.790;134.785;133.500;134.629;57450
2013.01.28;134.598;134.765;134.244;134.447;50182
2013.01.29;134.446;134.963;134.140;134.867;53730
2013.01.30;134.866;135.857;134.816;135.677;57285
2013.01.31;135.676;135.931;135.409;135.869;53999
2013.02.01;135.864;137.106;135.828;136.391;63059
2013.02.04;136.488;136.532;134.985;135.026;57532
2013.02.05;135.024;135.969;134.578;135.816;64106
2013.02.06;135.815;135.953;134.939;135.175;58827
2013.02.07;135.174;135.765;133.705;133.943;63280
2013.02.08;133.945;134.282;133.532;133.614;56801
2013.02.11;133.682;134.265;133.562;134.016;50788
2013.02.12;134.015;134.751;133.640;134.518;55790
2013.02.13;134.519;135.193;134.260;134.484;52950
2013.02.14;134.483;134.546;133.147;133.573;57620
2013.02.15;133.572;133.929;133.062;133.585;44266
2013.02.18;133.484;133.782;133.215;133.515;30013
2013.02.19;133.518;133.954;133.294;133.847;34759
2013.02.20;133.846;134.316;132.709;132.874;40208
2013.02.21;132.872;132.888;131.612;131.916;41856
2013.02.22;131.915;132.443;131.451;131.907;36020
2013.02.25;131.904;133.183;130.487;130.574;51066
2013.02.26;130.575;131.209;130.180;130.645;54147
2013.02.27;130.646;131.465;130.415;131.352;47288
2013.02.28;131.352;131.605;130.527;130.665;40009
2013.03.01;130.664;131.006;129.664;130.180;40350
2013.03.04;130.136;130.304;129.822;130.241;15805
2013.03.05;130.252;130.742;130.122;130.439;14700
2013.03.06;130.438;130.698;129.646;129.765;24486
